id,type,rating,dibl,dibu,song,episode,episodeID,episodeType,episodeLength,cleaned_rating,rating_numeric,dibl_copy,dibl_numeric
237,Pigs in a Blanket,5/5,0,1,Jumper,Pigs in a Blanket Sausage,VYrcXQs-avc,Mrs. Sausage Makes a Sausage,05:09,5,5.0,0/5 Mark Ruffalos,0.0
238,Pumpkin Spice,4/5,1,0,Voodoo Chile,Pumpkin Spiced Sausage,qQ1UgTwWDqE,Standard,04:36,4,4.0,1/5 Mark Ruffalos,1.0
239,Dehydrated Wasabi Peas,0/5,5,1,- No Song -,Dehydrated Wasabi Peas Sausage,08k06cAcizI,YouTube Comments Suggestions,01:01,0,0.0,5/5 Mark Ruffalos,5.0
240,Mr Beast Moist Burger,3/5,5,1,Ordinary world,Mr Beast Moist Burger Sausage,S2p40TnFRK4,Standard,03:50,3,3.0,5/5 Mark Ruffalos,5.0
241,Ceviche,5/5,2,1,I Ran,Ceviche Sausage,EdJMTzKmWjs,Standard,04:30,5,5.0,2/5 Mark Ruffalos,2.0
242,Boo Berry Cereal,0/5,1,0,- No Song -,Boo Berry Sausage,fbVt5rtBa90,YouTube Comments Suggestions,01:01,0,0.0,1/5 Mark Ruffalos,1.0
243,Arby’s Meat Mountain,2/5,2,1,Cold as Ice,Arby’s Meat Mountain Sausage,d2QiWDnJG20,Standard,03:47,2,2.0,2/5 Mark Ruffalos,2.0
244,Tomahawk ribeye,3/5,3,0,Who Will Save Your Soul,The Worst Tomahawk Ribeye Ever Made Sausage,_U0Z7gauS2c,Standard,05:55,3,3.0,3/5 Mark Ruffalos,3.0
245,Pumpkin Roll,4/5,1,0,Micheal Myers’s Theme,Pumpkin Roll Sausage,KyQrWrQGYgc,YouTube Comments Suggestions,01:01,4,4.0,1/5 Mark Ruffalos,1.0
246,Sweet Sue’s Canned Chicken and Dumplings,1/5,2,0,Hands,Sweet Sue’s Canned Chicken and Dumplings Sausage,wKfzyPkks68,Standard,03:19,1,1.0,2/5 Mark Ruffalos,2.0
247,Megan Thee Stallion Chicken Sandwich,2/5,1,0,Fergalicious,Megan Thee Stallion Chicken Sandwich Sausage,ULKg1HWtT64,Standard,04:33,2,2.0,1/5 Mark Ruffalos,1.0
248,Horseradish,0/5,4,0,- No Song -,Horseradish Sausage,vY7kOJcu7vA,YouTube Comments Suggestions,01:01,0,0.0,4/5 Mark Ruffalos,4.0
249,Cricket,0/5,0,0,"Just the Two of Us, Everyday, and When You wish upon a star",Cricket Sausage,qTznidutQhg,Standard,03:53,0,0.0,0/5 Mark Ruffalos,0.0
250,Manicotti,3/5,1,1,Bossy,Manicotti Sausage,1SfEvQsvm9s,Mrs. Sausage Makes a Sausage,05:13,3,3.0,1/5 Mark Ruffalos,1.0
251,Portillo’s Italian Beef Sandwich,5/5,1,0,Whatcha say,New House Plus Portillo's Italian Beef Sandwich Sausage,JiIVbAgSPWw,Standard,03:10,5,5.0,1/5 Mark Ruffalos,1.0
252,Loco moco,4/5,2,1,Over the Rainbow,"manscapedpartner

Stop Making Fun of My Kitchen and Loco Moco Sausage",xa4HiIwOi5E,Standard,06:02,4,4.0,2/5 Mark Ruffalos,2.0
253,Hot Giardiniera,Disqualified,5,1,- No Song -,Hot Giardiniera Sausage,80QlcfOiR0A,YouTube Comments Suggestions,01:14,Disqualified,,5/5 Mark Ruffalos,5.0
254,Bagel,1.5/5,1,0,Baby I'm-A-Want-You,Mr. Sausage Official Weigh-in Plus Bagel Sausage,yMyV0vz7dTY,Standard,02:50,1.5,1.5,1/5 Mark Ruffalos,1.0
255,Thai Lettuce Wraps,2.5/5,4,1,(I Just) Died In Your Arms,Thai Lettuce Wraps Sausage,qkhtpt-hRN8,Standard,04:49,2.5,2.5,4/5 Mark Ruffalos,4.0
256,Egg Nog Sausage,0/5,5,0,- No Song -,How to Make a Squirt Gun out of Egg Nog PLUS Egg Nog Sausage,N8cNF6k5lgY,Standard,01:00,0,0.0,5/5 Mark Ruffalos,5.0
257,Holiday Sausage Sampler,1.5/5,No,0,"(There's No Place Like) Home For The Holidays, Aquarius",Setting Up Sausage Studios in the Basement and Holiday Sausage Sampler Sausage,EFei74WEpW0,Holiday Special,03:37,1.5,1.5,No (No Rating),
258,Hanukkah Potato Latke,4/5,1,1,Various Hannukah Songs,Hanukkah Potato Latke Sausage with Neighbor Sam,DZOs0uMTgL4,Holiday Special,09:17,4,4.0,1/5 Mark Ruffalos,1.0
259,Nuts on Clark Caramel Popcorn,Disqualified,Yes,1,Chicago,Nuts on Clark Caramel Popcorn Sausage,_EfasldjwdA,Standard,01:00,Disqualified,,Yes (No Rating),
260,Butter Cookies,2/5,Not Done,0,"Frosty The Snowman, You've Lost That Lovin' Feelin'",Should You Buy It? OXO Good Grips Cookie Press AND Butter Cookies Sausage,xy4b5mY1ASQ,Should You Buy It?,03:35,2,2.0,Not Done,
261,Octopus,0/5,3,0,Only Time,Octopus Sausage,KKfJ2APIOmI,Standard,05:00,0,0.0,3/5 Mark Ruffalos,3.0
262,A Head of Lettuce,0/5,Not Done,0,- No Song -,Twitter Comments Suggestions: A Head of Lettuce Sausage,kT_8LxOkjyQ,Twitter Comments Suggestions,01:00,0,0.0,Not Done,
